"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
South Africa,4076463,,102595,,3912506,,61362,192,"67,095","1,689","26,795,090","441,027","60,756,135",Africa,15,592,2,,,"1,010"
Romania,3405206,,68193,,3334163,,2850,79,"178,926","3,583","27,549,317","1,447,577","19,031,335",Europe,6,279,1,,,150
Denmark,3182004,18,8723,2,3172985,39,296,5,"545,335","1,495","129,290,437","22,157,934","5,834,950",Europe,2,669,0,3,0.3,51
Hong Kong,2904315,,13819,,2877349,332,13147,28,"381,931","1,817","76,127,725","10,011,143","7,604,299",Asia,3,550,0,,,"1,729"
Sweden,2710457,,24389,,2683757,68,2311,8,"265,238","2,387","19,500,873","1,908,301","10,218,971",Europe,4,419,1,,,226
Serbia,2542488,125,18056,1,2521932,359,2500,5,"293,827","2,087","12,958,539","1,497,575","8,653,016",Europe,3,479,1,14,0.1,289
Singapore,2472873,,1727,,2149583,,321563,2,"416,060",291,"24,756,666","4,165,302","5,943,546",Asia,2,"3,442",0,,,"54,103"
Iraq,2465545,,25375,,2439497,,673,21,"58,474",602,"19,544,451","463,523","42,164,965",Asia,17,"1,662",2,,,16
New Zealand,2387201,,4400,,2372212,,10589,,"487,363",898,"7,768,604","1,586,011","4,898,203",Australia/Oceania,2,"1,113",1,,,"2,162"
Hungary,2202990,103,48874,1,2152155,330,1961,3,"229,329","5,088","11,394,556","1,186,160","9,606,259",Europe,4,197,1,11,0.1,204
Bangladesh,2039244,,29446,,1998448,,11350,,"12,147",175,"15,254,399","90,862","167,885,689",Asia,82,"5,701",11,,,68
Slovakia,1866857,,21167,,1845647,,43,2,"341,903","3,877","7,432,749","1,361,261","5,460,193",Europe,3,258,1,,,8
Georgia,1842046,,17070,,1776548,,48428,,"464,139","4,301","16,920,079","4,263,340","3,968,738",Asia,2,232,0,,,"12,202"
Jordan,1746997,,14122,,1731007,,1868,59,"169,597","1,371","17,201,885","1,669,945","10,300,869",Asia,6,729,1,,,181
Ireland,1712113,,8960,,1701665,,1488,19,"341,045","1,785","13,083,449","2,606,161","5,020,199",Europe,3,560,0,,,296
Pakistan,1581078,5,30660,,1538689,,11729,6,"6,890",134,"30,571,377","133,215","229,488,994",Asia,145,"7,485",8,0.02,,51
Norway,1484882,,5435,,1478595,,852,20,"269,422",986,"11,002,430","1,996,315","5,511,370",Europe,4,"1,014",1,,,155
Finland,1480370,,9750,,1468050,225,2570,21,"266,495","1,755","12,101,220","2,178,453","5,554,960",Europe,4,570,0,,,463
Kazakhstan,1411831,,13848,,1383020,,14963,24,"73,514",721,"11,575,012","602,707","19,205,043",Asia,14,"1,387",2,,,779
Slovenia,1344096,21,7100,,1328006,,8990,8,"646,811","3,417","2,847,701","1,370,382","2,078,034",Europe,2,293,1,10,,"4,326"
Lithuania,1320775,31,9687,,1310102,66,986,3,"496,213","3,639","10,456,160","3,928,365","2,661,708",Europe,2,275,0,12,,370
